,name,pypi_id,github_id,conda_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,show,category,projectrank_placing,github_release_downloads,trending,updated_github_id
0,PyBaMM,pybamm,pybamm-team/PyBaMM,conda-forge/pybamm,https://github.com/pybamm-team/PyBaMM,https://github.com/pybamm-team/PyBaMM,BSD-3-Clause,2018-10-31 10:26:29,2026-03-01 18:06:39.000,2026-02-28 02:32:02,15926.0,86.0,730.0,26.0,2596.0,194.0,1565.0,1504.0,2026-01-22 14:15:05.000,25.12.2,74.0,Fast and flexible physics-based battery models in Python.,152.0,140.0,142.0,33,https://pypi.org/project/pybamm,2026-01-22 14:15:05.000,12.0,52232.0,57772.0,https://anaconda.org/conda-forge/pybamm,2025-04-22 14:57:24.651,376776.0,True,others,1,,,
1,CadQuery,cadquery,CadQuery/cadquery,conda-forge/cadquery,https://github.com/CadQuery/cadquery,https://cadquery.readthedocs.io/,Apache-2.0,2018-10-28 17:57:18,2026-03-01 14:43:05.000,2026-02-24 13:53:52,2193.0,22.0,423.0,66.0,665.0,473.0,772.0,4569.0,2026-02-13 16:50:46.000,2.7.0,34.0,A python parametric CAD scripting framework based on OCCT.,568.0,473.0,115.0,32,https://pypi.org/project/cadquery,2026-02-13 16:50:46.000,95.0,132198.0,133176.0,https://anaconda.org/conda-forge/cadquery,2026-02-13 17:13:11.634,59672.0,True,others,1,,,
2,pinocchio,pinocchio,stack-of-tasks/pinocchio,conda-forge/pinocchio,https://github.com/stack-of-tasks/pinocchio,https://stack-of-tasks.github.io/pinocchio/,BSD-2-Clause,2014-10-07 15:42:51,2026-03-01 05:23:00.000,2026-02-14 15:35:32,9965.0,99.0,466.0,66.0,1411.0,94.0,1085.0,3133.0,2026-01-05 14:02:59.000,3.9.0,89.0,A fast and flexible implementation of Rigid Body Dynamics algorithms and their analytical derivatives.,4.0,,104.0,31,https://pypi.org/project/pinocchio,2021-12-15 13:42:46.763,4.0,40930.0,72044.0,https://anaconda.org/conda-forge/pinocchio,2026-02-25 15:16:36.291,2127518.0,True,robotics,1,94573.0,,
3,OSQP,osqp,osqp/osqp,conda-forge/osqp,https://github.com/osqp/osqp,https://osqp.org/,Apache-2.0,2016-09-27 03:02:46,2026-02-16 09:24:41.901,2025-11-10 12:54:10,2982.0,,392.0,40.0,311.0,112.0,278.0,2072.0,2026-01-26 21:12:22.000,1.1.0,46.0,The Operator Splitting QP Solver.,150.0,,36.0,31,https://pypi.org/project/osqp,2026-02-11 18:07:14.000,150.0,3162152.0,3186573.0,https://anaconda.org/conda-forge/osqp,2026-02-16 09:24:41.901,1410867.0,True,solver,1,178316.0,1.0,
4,HiGHS,,ERGO-Code/HiGHS,conda-forge/highspy,https://github.com/ERGO-Code/HiGHS,https://github.com/ERGO-Code/HiGHS,MIT,2018-03-27 13:57:58,2026-03-01 09:28:34.000,2026-02-11 18:51:04,13824.0,575.0,283.0,33.0,1632.0,141.0,911.0,1520.0,2026-02-11 16:25:56.000,1.13.1,22.0,Linear optimization software.,,,109.0,30,,,,,10881.0,https://anaconda.org/conda-forge/highspy,2026-02-19 12:58:01.507,197411.0,True,solver,1,25060.0,4.0,
5,AeroSandbox,aerosandbox,peterdsharpe/AeroSandbox,,https://github.com/peterdsharpe/AeroSandbox,https://github.com/peterdsharpe/AeroSandbox,MIT,2019-05-15 17:16:26,2025-12-25 08:58:34.000,2025-11-05 23:01:12,4342.0,,173.0,39.0,38.0,6.0,79.0,1125.0,2025-11-05 22:53:15.000,4.2.9,171.0,"Aircraft design optimization made fast through computational graph transformations (e.g., automatic differentiation)...",159.0,150.0,23.0,27,https://pypi.org/project/aerosandbox,2025-11-05 22:53:15.000,9.0,24391.0,24391.0,,,,True,robotics,1,,-2.0,
6,ProxQP,proxsuite,Simple-Robotics/proxsuite,conda-forge/proxsuite,https://github.com/Simple-Robotics/proxsuite,https://github.com/Simple-Robotics/proxsuite,BSD-2-Clause,2022-05-05 16:01:55,2026-03-01 17:38:12.000,2026-02-20 08:09:10,2132.0,31.0,69.0,16.0,308.0,16.0,80.0,545.0,2025-03-12 15:43:57.000,0.7.2,44.0,The Advanced Proximal Optimization Toolbox.,93.0,77.0,26.0,26,https://pypi.org/project/proxsuite,2025-03-20 17:51:00.000,16.0,73748.0,100579.0,https://anaconda.org/conda-forge/proxsuite,2025-09-04 08:01:54.017,1113957.0,True,solver,2,39819.0,,
7,Ipopt,ipopt,coin-or/Ipopt,conda-forge/ipopt,https://github.com/coin-or/Ipopt,https://coin-or.github.io/Ipopt/,EPL-2.0,2019-01-28 12:24:22,2026-02-17 01:36:21.548,2026-02-01 12:30:23,2430.0,1.0,306.0,45.0,44.0,11.0,615.0,1715.0,2025-07-30 10:34:09.000,releases/3.14.19,33.0,COIN-OR Interior Point Optimizer IPOPT.,10.0,,38.0,25,https://pypi.org/project/ipopt,2021-04-07 07:03:48.000,10.0,1064.0,35148.0,https://anaconda.org/conda-forge/ipopt,2026-02-17 01:36:21.548,2189373.0,True,solver,2,28549.0,,
8,do-mpc,do-mpc,do-mpc/do-mpc,conda-forge/do-mpc,https://github.com/do-mpc/do-mpc,www.do-mpc.com/,LGPL-3.0,2015-05-20 22:20:54,2025-10-31 13:21:03.709,2025-10-31 09:36:24,1262.0,,205.0,27.0,108.0,84.0,168.0,1342.0,2025-10-31 09:44:17.000,5.1.1,31.0,Model predictive control python toolbox.,7.0,,34.0,25,https://pypi.org/project/do-mpc,2025-10-31 09:44:43.000,7.0,11535.0,11884.0,https://anaconda.org/conda-forge/do-mpc,2025-10-31 13:21:03.709,12479.0,True,mpc,1,384.0,,
9,SUNDIALS,,LLNL/sundials,,https://github.com/llnl/sundials,https://computing.llnl.gov/projects/sundials,BSD-3-Clause,2017-10-05 17:20:03,2026-02-27 21:40:09.000,2026-01-26 16:43:46,7041.0,10.0,162.0,36.0,606.0,42.0,214.0,637.0,2026-01-26 19:16:35.000,7.6.0,47.0,Official development repository for SUNDIALS - a SUite of Nonlinear and DIfferential/ALgebraic equation Solvers. Pull..,,,47.0,25,,,,,5346.0,,,,True,solver,2,540003.0,,
10,bioptim,,pyomeca/bioptim,conda-forge/bioptim,https://github.com/pyomeca/bioptim,https://github.com/pyomeca/bioptim,MIT,2020-03-31 13:46:21,2026-02-27 15:07:11.000,2026-02-09 22:08:37,8287.0,63.0,56.0,3.0,733.0,61.0,249.0,118.0,2025-11-25 13:12:32.000,Release_3.4.0,23.0,"An optimization framework that links CasADi, Ipopt, ACADOS and biorbd for Optimal Control Problem.",,,41.0,23,,,,,2788.0,https://anaconda.org/conda-forge/bioptim,2025-11-25 13:40:00.513,172908.0,True,robotics,2,13.0,,
11,casadi,casadi,casadi/casadi,conda-forge/casadi,https://github.com/casadi/casadi,http://web.casadi.org/,LGPL-3.0,2012-10-31 13:50:50,2025-09-10 07:51:06.000,,,,419.0,,,767.0,,2001.0,2025-09-10 07:51:06.000,3.7.2,46.0,CasADi is a symbolic framework for numeric optimization implementing automatic differentiation in forward and reverse..,179.0,,62.0,22,https://pypi.org/project/casadi,2025-09-10 07:51:06.000,179.0,479938.0,502535.0,https://anaconda.org/conda-forge/casadi,2025-09-04 12:13:38.520,1581824.0,True,casadi-devs,1,,,
12,acados,,acados/acados,,https://github.com/acados/acados,https://docs.acados.org/,,2016-04-05 10:06:48,2026-02-26 08:34:13.000,2026-02-26 08:34:13,8618.0,58.0,309.0,21.0,1416.0,51.0,326.0,1249.0,2025-12-05 16:20:57.000,0.5.3,35.0,Fast and embedded solvers for nonlinear optimal control and nonlinear model predictive control.,,,100.0,22,,,,,1.0,,,,True,mpc,1,94.0,,
13,adam,adam-robotics,ami-iit/adam,conda-forge/adam-robotics-casadi,https://github.com/gbionics/adam,https://adam-docs.readthedocs.io/en/latest/,BSD-3-Clause,2021-05-25 07:55:26,2026-02-24 09:42:27.000,2026-01-27 10:31:51,872.0,49.0,28.0,13.0,105.0,8.0,39.0,212.0,2026-01-13 14:01:13.000,0.5.1,21.0,"adam implements a collection of algorithms for calculating rigid-body dynamics in Jax, CasADi, PyTorch, and Numpy.",7.0,7.0,13.0,22,https://pypi.org/project/adam-robotics,2025-12-04 15:47:30.000,,1161.0,1329.0,https://anaconda.org/conda-forge/adam-robotics-casadi,2026-01-15 11:35:51.417,2699.0,True,robotics,2,33.0,,gbionics/adam
14,Deltares RTC-Tools,rtc-tools,rtc-tools/rtc-tools,,https://github.com/rtc-tools/rtc-tools,https://github.com/rtc-tools/rtc-tools,LGPL-3.0,2024-09-04 06:39:27,2026-02-26 14:54:07.000,2026-02-24 14:16:38,1463.0,15.0,10.0,3.0,140.0,41.0,1570.0,14.0,2026-01-20 14:31:09.000,2.7.3,87.0,"RTC-Tools is an open-source Python package designed to model, simulate, and optimize networks or portfolios of assets,..",33.0,22.0,22.0,22,https://pypi.org/project/rtc-tools,2026-01-20 14:20:04.000,11.0,2728.0,2728.0,,,,False,others,2,,-1.0,
15,Clarabel,,oxfordcontrol/Clarabel.rs,conda-forge/clarabel,https://github.com/oxfordcontrol/Clarabel.rs,https://clarabel.org/,Apache-2.0,2022-04-17 13:48:34,2025-12-17 09:55:56.799,2025-09-25 13:24:15,629.0,,41.0,12.0,151.0,23.0,50.0,529.0,2025-06-11 16:41:15.000,0.11.1,18.0,Clarabel.rs: Interior-point solver for convex conic optimisation problems in Rust.,58.0,58.0,11.0,21,,,,,11684.0,https://anaconda.org/conda-forge/clarabel,2025-12-17 09:55:56.799,338840.0,True,solver,3,,-1.0,
16,DAQP,daqp,darnstrom/daqp,conda-forge/daqp,https://github.com/darnstrom/daqp,https://github.com/darnstrom/daqp,MIT,2021-09-06 07:46:36,2026-03-01 14:31:55.000,2026-01-18 12:06:51,266.0,11.0,18.0,4.0,81.0,13.0,17.0,101.0,2025-07-29 13:01:01.000,0.7.2,10.0,A dual active-set algorithm for convex quadratic programming.,133.0,118.0,6.0,21,https://pypi.org/project/daqp,2025-07-29 13:01:01.000,15.0,199592.0,203495.0,https://anaconda.org/conda-forge/daqp,2025-05-13 07:10:18.750,136194.0,True,solver,3,568.0,,
17,mpc-reinforcement-learning,mpcrl,FilippoAiraldi/mpc-reinforcement-learning,,https://github.com/FilippoAiraldi/mpc-reinforcement-learning,https://mpc-reinforcement-learning.readthedocs.io/,MIT,2022-11-28 16:27:04,2026-02-23 17:39:51.000,2026-02-14 13:30:19,1045.0,11.0,64.0,7.0,23.0,,9.0,651.0,2025-10-17 07:19:27.000,1.4.1,64.0,Reinforcement Learning with Model Predictive Control.,16.0,13.0,4.0,20,https://pypi.org/project/mpcrl,2025-10-17 07:16:13.000,3.0,297.0,297.0,,,,True,machine-learning,1,,,
18,MadNLP,,MadNLP/MadNLP.jl,,https://github.com/MadNLP/MadNLP.jl,https://madnlp.github.io/,MIT,2020-09-16 23:07:35,2026-02-27 18:51:21.000,2026-02-27 18:37:56,645.0,63.0,22.0,13.0,461.0,35.0,100.0,238.0,2026-02-25 22:28:16.000,0.9.1,32.0,A solver for nonlinear programming with GPU support.,,,19.0,18,,,,,,,,,True,solver,3,,2.0,
19,Pymoca,pymoca,pymoca/pymoca,,https://github.com/pymoca/pymoca,https://github.com/pymoca/pymoca,BSD-3-Clause,2014-06-09 22:42:19,2025-04-08 16:59:54.000,2025-03-04 18:16:01,1026.0,,26.0,13.0,229.0,58.0,69.0,92.0,2025-01-28 15:44:27.000,0.9.2,60.0,A Modelica to computer algebra system translator written in python.,28.0,22.0,14.0,18,https://pypi.org/project/pymoca,2025-01-28 15:44:22.000,6.0,4274.0,4274.0,,,,True,others,2,91.0,-1.0,
20,casadi-nlp,csnlp,FilippoAiraldi/casadi-nlp,,https://github.com/FilippoAiraldi/casadi-nlp,https://github.com/FilippoAiraldi/casadi-nlp,MIT,2022-11-02 20:10:28,2026-02-23 17:39:49.000,2026-02-14 13:30:40,957.0,11.0,2.0,5.0,21.0,,1.0,26.0,2025-10-16 20:32:59.000,1.6.8,78.0,Nonlinear Progamming with CasADi.,27.0,22.0,4.0,17,https://pypi.org/project/csnlp,2025-10-16 20:24:41.000,5.0,1431.0,1431.0,,,,False,mpc,2,,,
21,HPIPM,,giaf/hpipm,,https://github.com/giaf/hpipm,https://github.com/giaf/hpipm,,2017-05-12 08:20:10,2026-02-18 08:44:53.000,2026-02-18 08:44:53,1518.0,13.0,136.0,20.0,84.0,44.0,55.0,667.0,2020-08-13 11:22:57.000,0.1.3,4.0,High-performance interior-point-method QP and QCQP solvers.,,,28.0,16,,,,,,,,,True,solver,3,,2.0,
22,omg-tools,omg-tools,meco-group/omg-tools,,https://github.com/meco-group/omg-tools,https://github.com/meco-group/omg-tools,LGPL-3.0,2016-03-21 10:48:33,2024-09-12 15:29:08.000,2024-07-03 12:02:01,1759.0,,94.0,29.0,4.0,27.0,65.0,591.0,2017-12-01 14:36:31.000,0.1.3,4.0,Optimal Motion Generation-tools: motion planning made easy.,2.0,2.0,10.0,16,https://pypi.org/project/omg-tools,2017-12-01 14:36:31.000,,43.0,43.0,,,,True,robotics,2,,,
23,l4casadi,l4casadi,Tim-Salzmann/l4casadi,,https://github.com/Tim-Salzmann/l4casadi,https://github.com/Tim-Salzmann/l4casadi,MIT,2023-06-19 14:55:52,2025-06-05 15:17:30.000,2025-06-05 15:17:30,110.0,,45.0,11.0,7.0,4.0,68.0,557.0,2024-10-13 10:14:04.000,2.0.0,7.0,Use PyTorch Models with CasADi for data-driven optimization or learning-based optimal control. Supports Acados.,11.0,11.0,4.0,16,https://pypi.org/project/l4casadi,2024-10-13 10:14:04.000,,142.0,142.0,,,,True,machine-learning,2,,-1.0,
24,Fatrop,,meco-group/fatrop,conda-forge/libfatrop,https://github.com/meco-group/fatrop,https://meco-group.github.io/fatrop/,LGPL-3.0,2023-07-19 12:05:33,2026-02-27 16:20:39.000,2026-02-27 12:36:37,195.0,11.0,27.0,18.0,14.0,22.0,13.0,262.0,,,2.0,"Fatrop is a nonlinear optimal control problem solver that aims to be fast, support a broad class of optimal control..",,,5.0,16,,,,,6045.0,https://anaconda.org/conda-forge/libfatrop,2025-04-22 14:59:10.489,114869.0,True,solver,3,,,
25,rockit,rockit-meco,meco-group/rockit,,https://github.com/meco-group/rockit,https://gitlab.kuleuven.be/meco-software/rockit,LGPL-3.0,2019-08-22 10:02:13,2026-01-27 08:39:08.000,2025-04-04 10:32:07,845.0,,11.0,14.0,2.0,6.0,3.0,57.0,2025-05-08 14:22:54.000,0.6.6,89.0,Rockit (Rapid Optimal Control kit) is a software framework to quickly prototype optimal control problems.,20.0,18.0,18.0,16,https://pypi.org/project/rockit-meco,2026-01-27 08:39:08.000,2.0,1308.0,1308.0,,,,True,casadi-devs,2,,,
26,safe-control-gym,,utiasDSL/safe-control-gym,,https://github.com/utiasDSL/safe-control-gym,https://www.dynsyslab.org/safe-robot-learning/,MIT,2021-08-04 22:14:15,2025-11-06 19:47:30.000,2025-11-06 19:43:08,546.0,,149.0,10.0,134.0,16.0,55.0,842.0,2024-10-21 14:55:01.000,1.0.0,4.0,PyBullet CartPole and Quadrotor environmentswith CasADi symbolic a priori dynamicsfor learning-based control and RL.,,,20.0,15,,,,,,,,,True,machine-learning,2,,,
27,qpOASES,,coin-or/qpOASES,conda-forge/qpoases,https://github.com/coin-or/qpOASES,https://github.com/coin-or/qpOASES,LGPL-2.1,2020-02-19 04:13:16,2025-09-17 12:28:24.000,2025-09-17 12:28:24,196.0,,147.0,14.0,16.0,81.0,59.0,520.0,,,2.0,Open-source C++ implementation of the recently proposed online active set strategy.,,,19.0,15,,,,,1695.0,https://anaconda.org/conda-forge/qpoases,2025-04-22 14:58:14.536,79689.0,True,solver,3,,,
28,HILO-MPC,hilo-mpc,hilo-mpc/hilo-mpc,,https://github.com/hilo-mpc/hilo-mpc,https://github.com/hilo-mpc/hilo-mpc,LGPL-3.0,2022-03-30 13:20:17,2026-02-26 21:39:17.000,2026-02-26 21:34:33,350.0,1.0,36.0,5.0,23.0,19.0,16.0,198.0,2025-11-09 15:39:59.000,2.1.0,9.0,"HILO-MPC is a Python toolbox for easy, flexible and fast development of machine-learning-supported optimal control and..",3.0,3.0,9.0,15,https://pypi.org/project/hilo-mpc,2025-11-09 15:20:09.000,,70.0,70.0,,,,True,mpc,2,18.0,,
29,(Geometric) Fabrics,fabrics,tud-amr/fabrics,,https://github.com/tud-amr/fabrics,https://github.com/tud-amr/fabrics,GPL-3.0,2021-06-30 09:32:19,2025-02-01 00:57:30.000,2025-02-01 00:55:36,577.0,,13.0,6.0,101.0,16.0,28.0,92.0,2025-02-01 00:55:39.000,0.10.0,17.0,Optimization fabrics for behavior design.,18.0,16.0,7.0,15,https://pypi.org/project/fabrics,2025-02-01 00:57:23.000,2.0,156.0,156.0,,,,True,others,2,,,
30,OpenAP,openap-top,junzis/openap-top,,https://github.com/junzis/openap-top,https://github.com/junzis/openap-top,LGPL-3.0,2022-04-04 09:27:21,2026-02-20 23:59:56.000,2026-02-20 23:58:14,95.0,13.0,11.0,5.0,6.0,1.0,7.0,38.0,2026-02-20 23:59:56.000,1.10.1,11.0,easy-peasy optimal flight trajectory.,4.0,4.0,4.0,15,https://pypi.org/project/openap-top,2026-02-20 23:59:56.000,,253.0,253.0,,,,False,robotics,2,,,
31,openap-top,openap-top,junzis/openap-top,,https://github.com/junzis/openap-top,https://github.com/junzis/openap-top,LGPL-3.0,2022-04-04 09:27:21,2026-02-20 23:59:56.000,2026-02-20 23:58:14,95.0,13.0,11.0,5.0,6.0,1.0,7.0,38.0,2026-02-20 23:59:56.000,1.10.1,11.0,easy-peasy optimal flight trajectory.,4.0,4.0,4.0,15,https://pypi.org/project/openap-top,2026-02-20 23:59:56.000,,253.0,253.0,,,,False,others,2,,,
32,SIPPY,sippy_unipi,CPCLAB-UNIPI/SIPPY,,https://github.com/CPCLAB-UNIPI/SIPPY,https://github.com/CPCLAB-UNIPI/SIPPY,LGPL-3.0,2018-04-04 13:55:24,2025-10-14 09:22:26.000,2025-10-14 09:22:23,127.0,,96.0,20.0,26.0,19.0,29.0,324.0,2025-09-02 09:31:24.000,1.0.1,3.0,Systems Identification Package for PYthon.,,,12.0,14,https://pypi.org/project/sippy_unipi,2025-09-02 09:31:24.000,,414.0,414.0,,,,True,others,2,,,
33,OpTaS,pyoptas,cmower/optas,,https://github.com/cmower/optas,https://cmower.github.io/optas/,Apache-2.0,2022-04-28 17:48:06,2025-11-01 00:14:51.000,2025-11-01 00:14:51,1039.0,,18.0,2.0,94.0,9.0,54.0,138.0,2023-08-04 09:53:01.000,1.0.7,7.0,OpTaS: An optimization-based task specification library for trajectory optimization and model predictive control.,5.0,5.0,6.0,14,https://pypi.org/project/pyoptas,2023-08-04 09:53:01.000,,225.0,225.0,,,,True,mpc,2,,,
