,name,pypi_id,github_id,conda_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,show,category,projectrank_placing,github_release_downloads,trending,updated_github_id
0,PyBaMM,pybamm,pybamm-team/PyBaMM,conda-forge/pybamm,https://github.com/pybamm-team/PyBaMM,https://github.com/pybamm-team/PyBaMM,BSD-3-Clause,2018-10-31 10:26:29,2026-05-01 16:38:10.000,2026-05-01 16:38:08,15983.0,80.0,761.0,26.0,2668.0,197.0,1575.0,1549.0,2026-04-24 12:12:25.000,26.4.1,78.0,Fast and flexible physics-based battery models in Python.,165.0,146.0,143.0,34,https://pypi.org/project/pybamm,2026-04-24 12:12:25.000,19.0,69002.0,74558.0,https://anaconda.org/conda-forge/pybamm,2025-04-22 14:57:24.651,388932.0,True,others,1,,,
1,pinocchio,pinocchio,stack-of-tasks/pinocchio,conda-forge/pinocchio,https://github.com/stack-of-tasks/pinocchio,https://stack-of-tasks.github.io/pinocchio/,BSD-2-Clause,2014-10-07 15:42:51,2026-05-01 06:00:23.000,2026-04-20 09:29:14,13075.0,682.0,497.0,66.0,1433.0,90.0,1093.0,3319.0,2026-04-13 12:17:49.000,4.0.0,90.0,A fast and flexible implementation of Rigid Body Dynamics algorithms and their analytical derivatives.,4.0,,117.0,32,https://pypi.org/project/pinocchio,2021-12-15 13:42:46.763,4.0,46739.0,78659.0,https://anaconda.org/conda-forge/pinocchio,2026-04-14 10:22:21.014,2240796.0,True,robotics,1,106231.0,,
2,OSQP,osqp,osqp/osqp,conda-forge/osqp,https://github.com/osqp/osqp,https://osqp.org/,Apache-2.0,2016-09-27 03:02:46,2026-02-16 09:24:41.901,2025-11-10 12:54:10,2982.0,,408.0,40.0,313.0,124.0,278.0,2119.0,2026-01-26 21:12:22.000,1.1.0,46.0,The Operator Splitting QP Solver.,150.0,,36.0,31,https://pypi.org/project/osqp,2026-02-11 18:07:14.000,150.0,3928591.0,3953360.0,https://anaconda.org/conda-forge/osqp,2026-02-16 09:24:41.901,1467585.0,True,solver,1,200397.0,3.0,
3,HiGHS,,ERGO-Code/HiGHS,conda-forge/highspy,https://github.com/ERGO-Code/HiGHS,https://github.com/ERGO-Code/HiGHS,MIT,2018-03-27 13:57:58,2026-05-01 00:20:59.000,2026-04-08 20:46:58,14428.0,682.0,300.0,32.0,1698.0,159.0,939.0,1605.0,2026-04-06 15:40:30.000,1.14.0,23.0,Linear optimization software.,,,115.0,30,,,,,12315.0,https://anaconda.org/conda-forge/highspy,2026-04-06 18:24:10.872,243278.0,True,solver,1,38782.0,,
4,CadQuery,cadquery,CadQuery/cadquery,conda-forge/cadquery,https://github.com/CadQuery/cadquery,https://cadquery.readthedocs.io/,Apache-2.0,2018-10-28 17:57:18,2026-05-01 08:45:22.000,2026-04-14 06:50:32,2205.0,21.0,472.0,70.0,675.0,473.0,778.0,5048.0,2026-02-13 16:50:46.000,2.7.0,34.0,A python parametric CAD scripting framework based on OCCT.,608.0,513.0,115.0,29,https://pypi.org/project/cadquery,2026-02-13 16:50:46.000,95.0,,1085.0,https://anaconda.org/conda-forge/cadquery,2026-02-13 17:13:11.634,68412.0,True,others,1,,-3.0,
5,AeroSandbox,aerosandbox,peterdsharpe/AeroSandbox,,https://github.com/peterdsharpe/AeroSandbox,https://github.com/peterdsharpe/AeroSandbox,MIT,2019-05-15 17:16:26,2026-04-14 03:51:40.000,2025-11-05 23:01:12,4342.0,,190.0,40.0,42.0,9.0,79.0,1204.0,2025-11-05 22:53:15.000,4.2.9,171.0,"Aircraft design optimization made fast through computational graph transformations (e.g., automatic differentiation)...",167.0,158.0,23.0,27,https://pypi.org/project/aerosandbox,2025-11-05 22:53:15.000,9.0,17137.0,17137.0,,,,True,robotics,1,,,
6,SUNDIALS,,LLNL/sundials,,https://github.com/llnl/sundials,https://computing.llnl.gov/projects/sundials,BSD-3-Clause,2017-10-05 17:20:03,2026-05-01 12:49:21.000,2026-04-06 15:59:05,7098.0,47.0,165.0,36.0,671.0,45.0,218.0,650.0,2026-04-06 16:54:24.000,7.7.0,48.0,Official development repository for SUNDIALS - a SUite of Nonlinear and DIfferential/ALgebraic equation Solvers. Pull..,,,50.0,26,,,,,5921.0,,,,True,solver,2,609894.0,,
7,ProxQP,proxsuite,Simple-Robotics/proxsuite,conda-forge/proxsuite,https://github.com/Simple-Robotics/proxsuite,https://github.com/Simple-Robotics/proxsuite,BSD-2-Clause,2022-05-05 16:01:55,2026-04-07 13:40:26.000,2026-04-07 13:40:16,2147.0,27.0,73.0,14.0,311.0,18.0,81.0,558.0,2025-03-12 15:43:57.000,0.7.2,44.0,The Advanced Proximal Optimization Toolbox.,96.0,80.0,26.0,26,https://pypi.org/project/proxsuite,2025-03-20 17:51:00.000,16.0,66443.0,92999.0,https://anaconda.org/conda-forge/proxsuite,2025-09-04 08:01:54.017,1152519.0,True,solver,2,42537.0,,
8,Ipopt,ipopt,coin-or/Ipopt,conda-forge/ipopt,https://github.com/coin-or/Ipopt,https://coin-or.github.io/Ipopt/,EPL-2.0,2019-01-28 12:24:22,2026-03-06 08:54:06.000,2026-03-06 08:52:40,2431.0,2.0,312.0,45.0,46.0,15.0,615.0,1743.0,2025-07-30 10:34:09.000,releases/3.14.19,33.0,COIN-OR Interior Point Optimizer IPOPT.,10.0,,38.0,25,https://pypi.org/project/ipopt,2021-04-07 07:03:48.000,10.0,1926.0,37428.0,https://anaconda.org/conda-forge/ipopt,2026-02-17 01:36:21.548,2350578.0,True,solver,2,30602.0,,
9,do-mpc,do-mpc,do-mpc/do-mpc,conda-forge/do-mpc,https://github.com/do-mpc/do-mpc,www.do-mpc.com/,LGPL-3.0,2015-05-20 22:20:54,2025-10-31 13:21:03.709,2025-10-31 09:36:24,1262.0,,212.0,28.0,108.0,84.0,168.0,1384.0,2025-10-31 09:44:17.000,5.1.1,31.0,Model predictive control python toolbox.,7.0,,34.0,24,https://pypi.org/project/do-mpc,2025-10-31 09:44:43.000,7.0,11185.0,11544.0,https://anaconda.org/conda-forge/do-mpc,2025-10-31 13:21:03.709,13562.0,True,mpc,1,386.0,3.0,
